,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
Pit,Cmp-Att-Yd-TD-INT,21-38-194-1-0,21-35-252-1-1,20-32-207-0-0,19-37-254-2-2,34-52-327-0-1,25-40-243-1-0,32-44-257-1-3,27-40-196-1-1,17-28-174-1-2,24-39-355-4-2,20-28-174-0-0,16-28-197-1-0,11-17-104-0-0,17-22-179-0-0,16-30-174-1-3,15-27-168-1-0,19-29-230-2-2
Pit,First Downs,13,18,20,19,23,20,19,21,10,22,22,22,18,22,13,22,18
Pit,Fourth Down Conv.,0-0,0-0,0-0,1-1,0-3,2-2,2-2,4-4,0-1,0-0,0-0,0-0,1-2,0-0,0-0,0-0,1-2
Pit,Fumbles-Lost,1-0,0-0,2-1,1-0,1-1,1-0,0-0,2-1,2-0,0-0,0-0,1-0,2-0,0-0,0-0,0-0,1-0
Pit,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pit,Net Pass Yards,192,252,204,250,310,229,246,158,157,346,151,197,94,169,143,153,173
Pit,Opp Score,20,14,29,20,38,20,16,35,20,30,17,16,14,16,13,13,28
Pit,Opp_Cmp-Att-Yd-TD-INT,33-53-338-2-4,21-33-168-1-1,21-31-220-2-0,17-26-204-0-4,22-36-432-4-1,20-30-211-2-0,21-35-261-1-0,20-30-308-4-0,18-30-199-0-0,25-42-265-1-0,22-34-199-1-1,13-24-167-1-1,22-31-276-1-3,14-23-225-1-0,26-39-244-1-1,14-21-130-1-1,13-29-195-1-0
Pit,Opp_First Downs,32,16,22,20,21,15,17,20,28,17,19,18,23,12,19,15,23
Pit,Opp_Fourth Down Conv.,1-3,0-0,3-4,1-1,0-0,1-1,0-1,1-1,1-1,0-1,2-3,1-1,0-0,0-0,2-2,0-0,0-0
Pit,Opp_Fumbles-Lost,2-1,1-1,0-0,2-0,1-1,1-0,0-0,0-0,1-0,1-0,3-1,0-0,0-0,1-0,0-0,0-0,3-1
Pit,Opp_Net Pass Yards,299,152,205,178,432,193,261,290,162,249,180,160,264,188,244,120,189
Pit,Opp_Penalties-Yards,4-27,3-20,5-24,8-55,5-28,7-45,5-30,8-60,3-40,8-70,2-20,6-48,2-15,5-40,3-35,4-30,4-20
Pit,Opp_Rush-Yds-TDs,34-133-0,22-91-0,38-171-1,31-119-2,18-120-1,29-77-0,27-111-0,20-111-1,43-217-2,24-102-2,25-110-1,28-146-0,20-65-1,16-21-0,27-106-0,28-120-0,37-144-2
Pit,Opp_Sacked-Yards,7-39,3-16,2-15,3-26,0-0,2-18,0-0,3-18,6-37,2-16,3-19,1-7,2-12,4-37,0-0,1-10,1-6
Pit,Opp_Third Down Conv.,8-16,8-15,6-16,6-12,5-9,7-15,4-14,7-12,9-17,8-17,3-12,3-10,4-8,4-11,5-14,5-12,9-15
Pit,Opp_Time of Possession,43:42,26:24,36:09,30:01,23:52,29:59,26:44,25:42,38:56,28:24,25:38,27:05,27:01,23:49,32:39,25:46,30:56
Pit,Opp_Total Yards,432,243,376,297,552,270,372,401,379,351,290,306,329,209,350,240,333
Pit,Opp_Turnovers,5,2,0,4,2,0,0,0,0,0,2,1,3,0,1,1,1
Pit,Penalties-Yards,8-59,7-55,5-25,7-64,6-54,6-42,5-40,9-60,10-74,6-44,3-19,7-30,5-46,7-81,2-20,6-43,9-65
Pit,Pit Score,23,17,17,24,3,18,10,13,10,37,24,19,16,24,10,16,14
Pit,Rush-Yds-TDs,22-75-0,31-124-1,22-104-2,29-98-1,17-54-0,26-75-0,23-95-0,24-144-0,15-29-0,24-62-0,36-172-2,37-154-0,42-215-1,45-156-3,19-58-0,41-198-0,22-134-0
Pit,Sacked-Yards,1-2,0-0,1-3,1-4,3-17,2-14,2-11,6-38,2-17,2-9,3-23,0-0,2-10,1-10,3-31,2-15,7-57
Pit,Third Down Conv.,4-15,9-17,1-9,6-15,5-15,4-14,4-14,1-12,3-12,3-9,7-14,6-12,4-13,12-16,6-12,10-16,5-12
Pit,Time of Possession,26:18,33:36,23:51,29:59,36:08,30:01,33:16,34:18,21:04,31:36,34:22,32:55,32:59,36:11,27:21,34:14,29:04
Pit,Total Yards,267,376,308,348,364,304,341,302,186,408,323,351,309,325,201,351,307
Pit,Turnovers,0,1,1,2,2,0,3,2,2,2,0,0,0,0,3,0,2
