,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
pit,Cmp-Att-Yd-TD-INT,24-36-263-2-1,20-38-167-0-0,22-39-235-1-0,18-30-216-1-1,8-14-95-0-1,17-25-252-1-1,17-30-140-2-2,17-31-317-1-1,19-31-236-2-1,22-34-306-1-4,17-26-245-3-0,24-40-290-2-1,20-35-269-2-1,22-35-298-1-1,20-30-226-2-0,16-30-314-2-1,14-26-214-1-0
pit,First Downs,16,14,19,22,15,23,11,17,18,17,15,24,26,21,20,17,22
pit,Fourth Down Conv.,0-0,0-3,0-0,0-0,0-0,0-0,1-2,0-0,0-0,1-2,1-1,1-1,0-0,1-1,0-0,0-1,1-1
pit,Fumbles-Lost,1-0,1-1,2-2,1-0,0-0,1-0,1-0,1-1,1-0,0-0,0-0,0-0,2-0,0-0,0-0,1-1,1-0
pit,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pit,Net Pass Yards,255,146,212,208,82,245,108,317,228,264,227,282,261,283,226,272,214
pit,Opp Score,18,26,23,9,9,13,29,15,17,40,31,20,39,24,6,28,42
pit,Opp_Cmp-Att-Yd-TD-INT,20-30-222-1-1,23-35-243-2-0,15-22-101-1-1,31-49-235-1-2,33-55-312-0-5,19-34-246-1-0,15-25-268-2-0,27-45-423-0-0,14-24-222-2-1,30-45-299-4-0,33-45-351-4-2,21-36-234-2-0,44-66-506-2-0,22-30-281-2-1,8-17-93-1-1,23-27-239-1-1,37-58-469-5-1
pit,Opp_First Downs,20,22,18,18,21,12,21,21,13,25,28,19,31,21,13,20,28
pit,Opp_Fourth Down Conv.,2-2,0-0,0-0,0-2,0-0,0-2,1-3,0-2,0-0,0-1,1-1,0-0,0-0,0-0,0-1,0-2,4-6
pit,Opp_Fumbles-Lost,1-0,0-0,5-1,3-1,0-0,1-0,0-0,1-1,0-0,1-0,1-1,0-0,1-0,1-0,3-1,4-1,1-1
pit,Opp_Net Pass Yards,180,233,84,206,301,223,268,411,196,284,341,223,486,270,51,224,462
pit,Opp_Penalties-Yards,4-61,10-72,10-73,6-55,5-37,7-48,1-5,6-57,9-82,7-61,5-45,13-173,6-101,6-63,7-80,3-15,4-25
pit,Opp_Rush-Yds-TDs,25-57-1,32-102-0,38-222-2,15-82-0,20-70-0,15-28-0,43-152-0,22-71-0,29-71-0,21-65-0,24-121-0,22-130-0,16-59-2,31-143-1,28-176-0,28-124-2,18-83-1
pit,Opp_Sacked-Yards,7-42,2-10,2-17,4-29,2-11,3-23,0-0,2-12,3-26,3-15,1-10,2-11,3-20,2-11,7-42,3-15,2-7
pit,Opp_Third Down Conv.,3-12,3-13,4-12,5-13,7-15,3-11,2-11,2-12,6-15,4-12,8-13,7-14,12-18,10-16,3-12,3-10,7-16
pit,Opp_Time of Possession,31:10,34:22,33:59,24:31,31:08,23:21,35:15,31:37,30:02,31:40,33:36,30:11,33:50,35:07,29:04,29:05,31:10
pit,Opp_Total Yards,237,335,306,288,371,251,420,482,267,349,462,353,545,413,227,348,545
pit,Opp_Turnovers,1,0,2,3,5,0,0,1,1,0,3,0,0,1,2,2,2
pit,Penalties-Yards,13-144,11-131,6-40,8-60,4-19,6-57,5-54,5-37,9-70,9-65,3-27,7-66,5-35,2-4,4-24,9-77,3-40
pit,Rush-Yds-TDs,17-35-0,20-91-1,17-70-1,42-173-2,37-231-2,37-194-1,17-71-0,29-75-1,30-88-0,21-52-1,24-80-1,22-92-0,26-152-3,19-77-2,28-104-2,27-102-1,35-164-4
pit,Sacked-Yards,1-8,2-21,3-23,1-8,2-13,1-7,4-32,0-0,1-8,5-42,4-18,1-8,1-8,2-15,0-0,6-42,0-0
pit,Third Down Conv.,5-13,5-15,4-11,7-15,6-12,4-11,3-11,7-14,5-13,5-13,6-13,4-12,4-10,3-9,7-12,7-15,8-14
pit,Time of Possession,28:50,25:38,27:34,35:29,28:52,36:39,24:45,28:23,29:58,28:20,26:24,29:49,26:10,24:53,30:56,30:55,28:50
pit,Total Yards,290,237,282,381,313,439,179,392,316,316,307,374,413,360,330,374,378
pit,Turnovers,1,1,2,1,1,1,2,2,1,4,0,1,1,1,0,2,0
pit,pit Score,21,9,17,26,30,19,14,20,20,17,28,23,38,27,34,24,45
