,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
pit,Cmp-Att-Yd-TD-INT,17-23-156-0-0,13-20-117-1-0,14-20-149-1-0,22-34-312-1-0,29-42-352-2-2,14-24-145-0-0,24-39-276-1-2,24-38-264-0-1,14-29-195-3-1,16-33-207-1-1,21-29-270-1-0,29-38-414-3-1,24-41-212-2-2,14-22-128-1-0,22-33-217-2-1,29-38-320-3-0,37-46-277-1-1,20-30-270-2-0
pit,First Downs,16,16,10,23,25,18,17,17,21,16,17,28,20,10,19,20,21,11
pit,Fourth Down Conv.,0-1,0-0,0-0,0-2,1-1,1-1,1-2,1-1,1-2,0-0,1-3,0-0,3-4,0-0,0-1,1-1,0-1,0-1
pit,Fumbles-Lost,1-0,1-0,2-0,3-2,2-1,1-0,2-0,1-1,1-1,2-2,2-1,1-0,2-1,2-1,2-1,1-0,3-1,0-0
pit,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pit,Net Pass Yards,133,110,105,282,336,110,269,237,172,205,248,410,196,107,198,320,246,251
pit,Opp Score,10,6,20,27,17,13,37,26,27,18,24,38,27,27,34,10,17,28
pit,Opp_Cmp-Att-Yd-TD-INT,16-26-155-1-2,20-35-246-0-2,25-32-245-1-1,19-30-239-2-0,16-28-150-2-0,27-40-227-1-1,16-29-264-2-0,20-28-278-1-0,17-34-202-0-0,23-36-205-0-1,18-27-219-0-1,28-38-309-3-1,15-26-158-2-0,25-32-290-2-0,15-23-207-3-1,23-37-205-0-1,17-31-148-1-0,16-21-175-2-0
pit,Opp_First Downs,15,13,20,22,17,16,21,20,19,18,17,25,15,26,25,23,16,29
pit,Opp_Fourth Down Conv.,1-1,1-2,0-0,0-0,2-2,1-3,2-2,0-0,0-1,0-1,4-4,0-0,0-0,1-1,0-0,0-1,0-2,0-0
pit,Opp_Fumbles-Lost,1-1,0-0,0-0,1-0,2-1,3-2,0-0,1-1,2-1,0-0,3-2,2-2,1-1,2-2,3-0,2-1,2-1,1-0
pit,Opp_Net Pass Yards,137,231,232,225,134,218,260,259,182,181,219,282,147,270,198,162,119,165
pit,Opp_Penalties-Yards,5-34,9-124,3-15,4-38,8-50,4-42,4-36,5-50,5-41,7-45,8-48,11-101,6-61,7-54,2-10,4-25,3-20,3-14
pit,Opp_Rush-Yds-TDs,22-89-0,19-64-0,31-114-1,32-133-1,26-92-0,19-57-1,36-149-2,31-167-0,22-60-3,34-122-0,27-85-3,15-93-1,35-120-1,42-131-1,38-220-0,31-202-1,23-74-1,50-299-2
pit,Opp_Sacked-Yards,2-18,2-15,2-13,2-14,3-16,1-9,1-4,4-19,3-20,4-24,1-0,4-27,1-11,3-20,1-9,5-43,4-29,1-10
pit,Opp_Third Down Conv.,2-9,2-12,7-14,8-15,3-12,2-11,5-14,6-13,5-14,4-16,1-10,4-8,6-14,10-17,4-10,8-16,4-12,10-15
pit,Opp_Time of Possession,24:24,27:41,33:51,28:53,27:31,28:09,32:09,29:18,23:49,36:22,24:58,28:51,30:00,39:52,32:25,31:22,22:00,39:33
pit,Opp_Total Yards,226,295,346,358,226,275,409,426,242,303,304,375,267,401,418,364,193,464
pit,Opp_Turnovers,3,2,1,0,1,3,0,1,1,1,3,3,1,2,1,2,1,0
pit,Penalties-Yards,9-60,10-78,7-69,6-53,11-87,7-50,5-50,11-65,5-49,12-80,6-39,9-103,9-81,5-60,5-29,9-90,6-25,7-41
pit,Rush-Yds-TDs,41-137-0,36-141-0,20-61-0,30-122-2,31-109-0,35-183-3,15-54-1,25-157-1,43-140-1,19-124-1,34-120-1,26-110-1,25-104-0,17-56-0,24-117-0,20-69-1,21-68-0,11-29-0
pit,Sacked-Yards,2-23,2-7,5-44,4-30,2-16,3-35,1-7,4-27,3-23,2-2,4-22,2-4,3-16,2-21,3-19,0-0,4-31,4-19
pit,Third Down Conv.,8-17,4-13,3-11,6-13,9-15,4-13,3-10,5-15,7-16,4-11,7-16,4-9,2-13,3-10,4-10,3-10,5-13,5-11
pit,Time of Possession,35:36,32:19,26:09,31:07,32:29,31:51,27:51,30:42,36:11,23:38,35:02,31:09,30:00,20:08,27:35,28:38,38:00,20:27
pit,Total Yards,270,251,166,404,445,293,323,394,312,329,368,520,300,163,315,389,314,280
pit,Turnovers,0,0,0,2,3,0,2,2,2,3,1,1,3,1,2,0,2,0
pit,pit Score,18,13,10,24,20,32,15,18,28,16,19,44,14,13,17,29,19,14
