,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
htx,Cmp-Att-Yd-TD-INT,11-21-125-1-0,15-24-125-0-0,22-33-301-2-2,10-20-117-0-4,29-37-324-3-0,20-37-140-1-3,19-30-402-4-3,20-30-308-2-0,18-36-221-1-2,22-34-257-3-2,22-37-252-0-2,31-49-365-1-1,20-33-334-1-1,12-31-128-1-1,20-30-226-2-0,14-24-137-0-1
htx,First Downs,19,14,23,9,29,16,25,17,17,17,20,24,20,9,20,15
htx,Fourth Down Conv.,1-1,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-1,0-1,0-0,1-1,0-0,0-0,0-0,0-0
htx,Fumbles-Lost,1-0,0-0,2-0,1-1,1-0,1-0,1-0,1-1,2-2,1-0,2-1,1-0,0-0,2-0,0-0,0-0
htx,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
htx,Net Pass Yards,125,98,292,109,323,113,367,279,194,244,237,331,314,99,226,124
htx,Opp Score,7,9,36,57,34,33,41,14,33,31,23,24,16,45,6,22
htx,Opp_Cmp-Att-Yd-TD-INT,19-36-164-1-1,20-35-224-0-0,25-35-378-5-0,25-34-283-4-1,16-31-261-5-0,17-29-225-3-1,26-41-452-4-1,19-44-219-1-0,26-38-361-3-0,22-32-230-2-1,21-33-163-0-0,15-23-150-1-0,20-38-238-2-0,21-29-326-3-0,8-17-93-1-1,15-25-114-1-0
htx,Opp_First Downs,23,12,21,33,20,18,21,19,19,22,17,19,18,25,13,20
htx,Opp_Fourth Down Conv.,0-1,1-2,0-0,1-1,1-1,0-0,0-0,0-1,0-1,0-0,2-2,1-1,1-2,0-0,0-1,0-0
htx,Opp_Fumbles-Lost,3-3,1-1,4-1,0-0,1-1,0-0,1-0,2-1,0-0,4-1,0-0,2-1,2-1,0-0,3-1,0-0
htx,Opp_Net Pass Yards,110,213,337,272,248,217,446,194,339,223,155,146,221,326,51,104
htx,Opp_Penalties-Yards,9-94,7-45,5-69,3-20,7-59,4-44,10-120,7-74,10-86,6-42,7-89,7-63,8-81,8-54,7-80,4-20
htx,Opp_Rush-Yds-TDs,23-93-0,24-82-0,20-59-0,42-173-2,23-144-0,33-123-0,21-33-0,21-94-0,25-104-0,34-134-2,31-139-2,25-198-2,23-90-0,38-138-3,28-176-0,36-146-1
htx,Opp_Sacked-Yards,10-54,3-11,5-41,2-11,3-13,1-8,2-6,2-25,3-22,1-7,1-8,2-4,3-17,1-0,7-42,1-10
htx,Opp_Third Down Conv.,5-12,4-15,6-13,6-12,3-10,5-13,5-12,4-14,6-16,8-15,3-14,5-11,3-13,3-10,3-12,6-13
htx,Opp_Time of Possession,29:55,27:45,26:22,39:41,21:43,29:04,29:38,29:01,31:31,33:46,29:44,26:11,25:11,33:18,29:04,31:13
htx,Opp_Total Yards,203,295,396,445,392,340,479,288,443,357,294,344,311,464,227,250
htx,Opp_Turnovers,4,1,1,1,1,1,1,1,0,2,0,1,1,0,2,0
htx,Penalties-Yards,10-89,9-61,10-60,6-88,6-64,11-72,8-93,6-68,8-60,10-90,6-36,11-85,11-87,14-127,4-24,7-34
htx,Rush-Yds-TDs,39-155-1,35-168-1,32-125-0,19-86-2,35-127-0,22-134-0,34-142-1,28-92-0,25-89-0,18-48-0,25-66-1,22-53-0,31-102-1,21-87-0,28-104-2,27-85-1
htx,Sacked-Yards,0-0,3-27,2-9,2-8,1-1,4-27,5-35,3-29,3-27,2-13,2-15,4-34,2-20,4-29,0-0,2-13
htx,Third Down Conv.,3-12,4-15,6-14,2-8,9-16,3-14,2-10,4-14,4-12,3-10,6-14,8-16,2-11,4-16,7-12,5-11
htx,Time of Possession,30:05,32:15,33:38,20:19,38:17,30:56,30:22,30:59,28:29,26:14,30:16,33:49,34:49,26:42,30:56,28:47
htx,Total Yards,280,266,417,195,450,247,509,371,283,292,303,384,416,186,330,209
htx,Turnovers,0,0,2,5,0,3,3,1,4,2,3,1,1,1,0,1
htx,htx Score,29,13,33,14,42,17,38,20,7,21,16,13,26,7,34,13
