,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
htx,Cmp-Att-Yd-TD-INT,17-34-176-1-1,22-32-310-2-1,25-29-297-2-0,29-42-375-2-1,18-29-208-1-2,16-29-145-1-2,12-24-139-1-0,22-38-269-1-1,17-24-213-2-0,16-24-208-1-2,22-23-303-2-0,29-43-397-1-3,27-41-399-2-1,22-28-294-2-0,29-40-339-2-0,15-28-107-0-1,19-32-222-2-1
htx,First Downs,21,21,21,30,14,12,15,18,17,19,14,20,24,15,25,6,26
htx,Fourth Down Conv.,0-1,0-0,0-0,1-1,1-1,0-0,0-0,0-1,0-1,0-0,0-1,0-2,0-0,0-0,0-1,0-0,0-0
htx,Fumbles-Lost,1-1,2-0,2-0,0-0,0-0,2-1,2-0,0-0,0-0,2-1,2-1,1-1,1-0,0-0,2-1,2-1,0-0
htx,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
htx,Net Pass Yards,158,289,265,347,194,129,131,254,192,181,260,397,386,239,309,89,222
htx,Opp Score,27,20,22,34,19,20,7,42,17,21,34,29,21,22,32,20,7
htx,Opp_Cmp-Att-Yd-TD-INT,26-39-277-3-1,15-22-191-2-0,24-40-385-2-1,40-62-464-4-0,33-44-375-1-1,15-26-177-1-2,27-42-217-1-1,16-20-239-5-0,26-42-290-1-0,18-39-189-1-2,19-24-210-2-0,22-31-224-1-0,27-38-267-1-0,24-38-253-2-0,35-50-471-4-1,25-35-234-0-0,29-49-235-1-1
htx,Opp_First Downs,23,15,21,28,25,15,15,17,19,23,19,25,25,21,25,23,20
htx,Opp_Fourth Down Conv.,1-1,2-2,2-2,0-1,0-1,0-0,0-1,1-1,2-2,1-1,1-1,0-0,2-2,1-3,4-4,1-1,2-5
htx,Opp_Fumbles-Lost,3-2,1-0,1-1,3-2,2-1,3-1,3-2,0-0,1-1,1-0,1-0,2-0,0-0,1-1,3-2,1-1,0-0
htx,Opp_Net Pass Yards,267,183,368,437,374,142,189,239,273,154,181,197,226,228,462,208,217
htx,Opp_Penalties-Yards,6-36,8-70,7-50,10-85,5-25,6-50,2-15,8-57,8-50,6-43,3-53,5-77,7-35,9-60,11-105,2-15,8-67
htx,Opp_Rush-Yds-TDs,31-122-0,34-100-0,19-59-0,17-41-0,31-88-0,24-74-0,22-70-0,35-188-1,20-75-1,29-124-2,34-281-2,39-187-0,25-89-2,31-90-1,22-57-0,33-134-2,16-105-0
htx,Opp_Sacked-Yards,2-10,1-8,3-17,4-27,1-1,7-35,4-28,0-0,2-17,5-35,4-29,4-27,5-41,3-25,1-9,6-26,3-18
htx,Opp_Third Down Conv.,4-14,5-15,5-12,10-17,5-15,3-13,9-19,6-12,5-14,6-15,4-11,8-16,5-15,9-17,9-16,6-17,3-13
htx,Opp_Time of Possession,31:10,30:22,24:30,29:56,36:38,27:00,30:25,28:51,27:35,30:57,29:58,37:35,31:57,35:04,33:45,35:07,28:46
htx,Opp_Total Yards,389,283,427,478,462,216,259,427,348,278,462,384,315,318,519,342,322
htx,Opp_Turnovers,3,0,2,2,2,3,3,0,1,2,0,0,0,1,3,1,1
htx,Penalties-Yards,6-44,11-88,3-20,10-54,7-72,12-104,6-35,5-63,7-60,7-40,7-50,6-45,9-59,5-43,10-61,8-68,2-10
htx,Rush-Yds-TDs,34-167-1,26-148-0,27-114-1,35-119-1,29-98-0,27-100-0,37-141-1,25-116-1,33-98-0,31-139-0,23-105-0,9-31-1,23-50-1,17-47-0,19-62-2,16-30-0,35-200-1
htx,Sacked-Yards,3-18,4-21,4-32,7-28,2-14,2-16,1-8,2-15,4-21,3-27,6-43,0-0,2-13,6-55,4-30,3-18,0-0
htx,Third Down Conv.,2-11,5-11,7-13,8-16,4-14,6-15,8-16,4-13,4-13,4-11,4-12,2-8,4-12,1-9,3-10,3-13,9-14
htx,Time of Possession,28:50,29:38,35:30,40:04,31:32,33:00,29:35,31:09,32:25,29:03,30:02,22:25,28:03,24:56,26:15,24:53,31:14
htx,Total Yards,325,437,379,466,292,229,272,370,290,320,365,428,436,286,371,119,422
htx,Turnovers,2,1,0,1,2,3,0,1,0,3,1,4,1,0,1,2,1
htx,htx Score,20,17,27,37,16,13,20,23,19,23,17,13,24,29,30,3,21
