,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
htx,Cmp-Att-Yd-TD-INT,20-30-268-3-1,23-33-213-1-0,25-34-351-3-0,24-34-232-0-0,32-46-330-3-1,30-42-280-1-2,23-34-308-1-2,18-30-285-3-0,22-28-201-2-0,18-30-169-0-1,16-25-129-0-0,24-47-326-3-1,22-27-309-3-1,19-27-243-2-2,19-32-184-0-1,14-21-222-2-0,25-48-280-1-0,31-52-388-2-0
htx,First Downs,22,16,20,19,22,35,21,15,21,16,19,29,22,23,15,25,24,23
htx,Fourth Down Conv.,1-1,2-2,0-0,0-0,1-1,2-3,1-3,0-0,1-1,1-4,0-1,1-2,0-0,0-0,1-1,0-0,0-1,1-5
htx,Fumbles-Lost,0-0,3-1,2-1,3-3,1-0,1-1,0-0,0-0,1-1,1-1,0-0,0-0,0-0,1-0,2-1,0-0,2-1,2-1
htx,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
htx,Net Pass Yards,234,178,337,203,316,280,291,285,194,110,121,303,301,234,161,222,253,348
htx,Opp Score,30,13,20,10,53,24,30,27,3,41,20,28,24,21,20,14,22,51
htx,Opp_Cmp-Att-Yd-TD-INT,32-43-370-2-1,16-29-159-0-0,31-46-318-2-0,21-34-160-0-1,28-33-426-5-0,19-35-273-3-1,26-40-326-4-0,27-39-279-3-0,27-47-309-0-2,20-27-235-4-0,19-30-298-2-1,19-26-240-4-0,28-50-292-1-2,22-37-279-2-1,25-48-335-1-4,21-36-225-0-1,20-25-247-1-0,23-35-321-5-0
htx,Opp_First Downs,25,17,22,18,31,20,23,29,21,25,16,16,26,24,19,20,19,29
htx,Opp_Fourth Down Conv.,0-0,1-1,2-3,0-0,0-0,0-0,0-1,1-1,0-2,0-1,0-2,0-0,2-4,1-2,0-1,2-4,0-1,0-0
htx,Opp_Fumbles-Lost,1-0,2-0,1-1,1-1,5-1,1-1,1-1,1-0,3-2,1-0,2-0,0-0,1-1,0-0,1-1,0-0,2-1,2-1
htx,Opp_Net Pass Yards,362,137,293,128,426,256,321,258,282,235,297,224,280,269,329,192,219,316
htx,Opp_Penalties-Yards,7-48,7-47,7-69,7-81,9-89,11-79,6-45,7-50,4-34,8-65,4-27,8-79,9-44,4-30,6-45,5-35,4-20,4-37
htx,Opp_Rush-Yds-TDs,21-148-1,30-126-1,18-73-0,22-136-1,34-166-1,11-53-0,26-62-0,32-130-0,15-74-0,37-256-1,24-99-0,23-52-0,22-134-2,28-163-1,21-106-1,25-109-2,33-141-1,21-118-2
htx,Opp_Sacked-Yards,1-8,4-22,5-25,6-32,0-0,1-17,1-5,3-21,4-27,0-0,1-1,3-16,3-12,2-10,3-6,4-33,7-28,1-5
htx,Opp_Third Down Conv.,7-11,6-15,5-15,4-11,10-13,4-8,8-16,6-14,4-11,5-9,6-12,6-11,6-13,4-10,9-17,3-12,6-13,2-8
htx,Opp_Time of Possession,30:13,29:59,31:48,29:22,31:00,20:12,32:52,35:53,27:27,36:19,26:43,25:25,28:35,28:40,30:28,31:39,36:25,25:25
htx,Opp_Total Yards,510,263,366,264,592,309,383,388,356,491,396,276,414,432,435,301,360,434
htx,Opp_Turnovers,1,0,1,2,1,2,1,0,4,0,1,0,3,1,5,1,1,1
htx,Penalties-Yards,8-69,9-70,6-65,6-35,7-63,10-70,10-54,11-100,7-60,5-60,3-29,8-60,7-50,5-27,4-35,5-37,7-64,7-87
htx,Rush-Yds-TDs,23-180-1,21-103-0,19-39-1,28-94-1,20-57-1,41-192-3,24-100-1,23-93-0,34-216-1,20-122-1,39-175-2,29-145-0,27-90-1,35-140-1,26-68-1,39-245-3,30-172-0,21-94-1
htx,Sacked-Yards,6-34,4-35,2-14,3-29,2-14,0-0,3-17,0-0,1-7,7-59,1-8,3-23,1-8,1-9,5-23,0-0,3-27,5-40
htx,Third Down Conv.,7-13,3-13,6-10,7-14,9-16,5-12,4-12,5-12,4-11,2-10,9-15,9-17,5-8,5-10,4-14,5-10,11-21,5-15
htx,Time of Possession,29:47,30:01,28:12,30:38,29:00,39:48,27:08,24:07,32:33,23:41,33:17,34:35,31:25,31:20,29:32,28:21,35:15,34:35
htx,Total Yards,414,281,376,297,373,472,391,378,410,232,296,448,391,374,229,467,425,442
htx,Turnovers,1,1,1,3,1,3,2,0,1,2,0,1,1,2,2,0,1,1
htx,htx Score,28,12,27,16,32,31,23,24,26,7,17,22,38,24,23,35,19,31
