,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
htx,Cmp-Att-Yd-TD-INT,28-44-242-0-0,25-33-227-1-0,20-30-280-2-0,18-28-132-0-1,20-35-249-1-0,33-51-357-1-1,16-24-140-0-0,21-30-265-2-0,23-39-356-1-1,20-30-214-1-1,23-38-364-1-1,15-26-186-1-3,11-28-95-0-0,23-36-229-1-1,28-44-374-3-2,18-26-184-0-0,20-26-264-2-0,34-46-307-1-2,19-33-175-0-0
htx,First Downs,18,19,15,12,17,24,16,21,28,20,22,16,10,21,26,11,16,18,10
htx,Fourth Down Conv.,1-4,0-0,0-0,0-1,0-0,0-2,1-1,2-2,0-1,1-4,0-0,3-3,0-3,1-1,4-6,2-4,0-1,0-4,0-1
htx,Fumbles-Lost,1-1,1-0,0-0,2-0,0-0,1-1,1-1,2-1,2-2,2-1,0-0,0-0,2-0,1-0,0-0,1-1,0-0,0-0,1-0
htx,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
htx,Net Pass Yards,196,227,280,111,249,341,119,251,356,196,364,164,54,192,364,134,246,268,175
htx,Opp Score,25,20,17,30,21,20,15,39,27,21,21,22,30,16,22,26,19,45,34
htx,Opp_Cmp-Att-Yd-TD-INT,17-22-169-0-1,30-47-384-2-0,29-42-288-1-1,17-31-312-3-0,29-38-351-1-0,13-27-199-2-1,22-31-235-1-0,30-42-470-5-0,27-40-347-2-2,28-38-338-2-3,26-36-304-2-0,17-28-292-1-0,27-36-301-2-0,17-26-199-0-1,26-49-211-2-2,24-32-213-1-0,13-24-141-0-0,17-22-280-3-0,16-22-152-2-0
htx,Opp_First Downs,18,24,22,24,26,19,20,26,20,22,19,14,20,14,20,20,21,14,22
htx,Opp_Fourth Down Conv.,0-0,2-2,0-1,0-1,0-0,0-0,1-2,1-1,1-1,0-1,0-1,1-1,1-1,1-1,1-3,0-0,0-1,0-0,2-2
htx,Opp_Fumbles-Lost,2-1,3-1,1-1,2-0,3-2,0-0,0-0,2-1,1-0,0-0,0-0,1-0,1-1,1-0,1-0,1-0,1-1,0-0,0-0
htx,Opp_Net Pass Yards,155,337,288,312,351,177,180,443,314,308,261,264,268,138,178,201,133,280,123
htx,Opp_Penalties-Yards,13-106,3-20,6-49,8-63,7-55,3-29,3-20,9-115,4-63,3-19,7-49,8-81,8-52,5-50,10-76,1-6,3-14,3-20,3-15
htx,Opp_Rush-Yds-TDs,32-110-3,26-52-0,27-116-1,38-139-0,36-96-1,31-120-0,24-44-0,17-53-0,16-66-1,25-111-1,18-91-1,30-89-1,26-79-1,30-66-1,16-72-0,28-111-0,37-227-1,22-76-1,42-229-2
htx,Opp_Sacked-Yards,4-14,6-47,0-0,0-0,0-0,2-22,6-55,3-27,4-33,4-30,4-43,5-28,4-33,7-61,3-33,1-12,1-8,0-0,3-29
htx,Opp_Third Down Conv.,8-15,9-19,5-13,6-12,7-14,4-11,5-14,3-11,6-14,9-13,6-13,4-16,6-15,5-15,5-15,3-11,1-11,2-8,4-12
htx,Opp_Time of Possession,30:55,34:58,32:03,32:35,35:32,28:27,30:29,28:40,28:30,31:15,26:06,33:04,37:05,33:28,26:26,33:11,30:42,24:34,37:35
htx,Opp_Total Yards,265,389,404,451,447,297,224,496,380,419,352,353,347,204,250,312,360,356,352
htx,Opp_Turnovers,2,1,2,0,2,1,0,1,2,3,0,0,1,1,2,0,1,0,0
htx,Penalties-Yards,9-88,8-42,8-75,2-18,5-25,7-83,10-70,9-90,7-50,5-50,6-35,2-8,4-35,8-67,9-55,3-15,11-69,4-32,11-70
htx,Rush-Yds-TDs,23-72-0,23-126-3,26-86-1,25-114-0,23-64-0,25-89-0,30-110-2,31-81-2,34-188-2,25-123-1,30-81-1,30-118-1,19-81-1,32-148-0,30-54-2,21-53-0,28-60-1,20-56-1,14-38-0
htx,Sacked-Yards,5-46,0-0,0-0,3-21,0-0,2-16,2-21,2-14,1-0,3-18,0-0,3-22,5-41,4-37,1-10,6-50,2-18,4-39,0-0
htx,Third Down Conv.,7-18,6-12,9-15,6-14,4-13,6-15,5-12,3-13,4-13,3-10,7-13,0-11,1-12,4-15,6-16,1-12,5-13,7-15,4-12
htx,Time of Possession,29:05,25:02,27:57,27:25,24:28,31:33,29:31,31:20,31:30,28:45,33:54,26:56,22:55,36:32,33:34,26:49,29:18,35:26,22:25
htx,Total Yards,268,353,366,225,313,430,229,332,544,319,445,282,135,340,418,187,306,324,213
htx,Turnovers,1,0,0,1,0,2,1,1,3,2,1,3,0,1,2,1,0,2,0
htx,htx Score,9,31,37,6,19,13,13,37,30,16,24,17,6,19,36,3,23,14,10
