,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
oti,Cmp-Att-Yd-TD-INT,22-32-262-2-0,15-27-215-1-1,29-49-373-4-0,10-20-117-0-4,21-32-141-1-0,21-37-212-1-0,21-34-203-0-0,35-53-277-2-2,20-35-265-2-0,22-34-306-1-4,17-25-184-1-2,31-49-365-1-1,16-31-159-0-2,23-33-241-2-0,22-39-301-4-0,15-34-158-0-2,19-31-205-2-1,22-37-254-2-0
oti,First Downs,22,21,24,9,14,18,16,24,15,17,19,24,14,23,20,13,23,15
oti,Fourth Down Conv.,1-1,0-0,1-2,0-0,0-0,0-1,0-1,3-4,1-1,1-2,0-0,1-1,0-2,1-1,1-2,0-0,0-0,2-3
oti,Fumbles-Lost,3-0,0-0,3-0,1-1,2-2,1-1,1-1,1-0,2-2,0-0,0-0,1-0,0-0,1-1,2-1,4-2,2-1,0-0
oti,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
oti,Net Pass Yards,250,211,364,109,119,212,189,268,255,264,184,331,139,238,286,146,195,202
oti,Opp Score,16,16,33,57,16,36,9,23,24,40,16,24,12,25,23,15,21,35
oti,Opp_Cmp-Att-Yd-TD-INT,25-41-256-0-0,20-34-223-1-2,20-32-225-2-0,25-34-283-4-1,12-27-92-1-1,23-32-306-1-1,22-39-235-0-3,19-28-218-2-1,25-44-264-1-1,30-45-299-4-0,17-29-196-0-0,15-23-150-1-0,17-26-178-0-0,31-43-381-1-0,22-39-275-0-1,12-21-134-1-0,24-33-264-2-0,35-53-337-3-0
oti,Opp_First Downs,21,20,21,33,12,25,19,14,27,25,15,19,16,23,19,11,19,31
oti,Opp_Fourth Down Conv.,0-0,0-0,0-0,1-1,0-0,1-1,1-2,0-0,0-0,0-1,0-0,1-1,0-0,0-0,0-1,1-1,0-1,0-0
oti,Opp_Fumbles-Lost,0-0,2-1,0-0,0-0,1-1,0-0,0-0,0-0,1-1,1-0,2-1,2-1,0-0,0-0,1-0,1-1,0-0,0-0
oti,Opp_Net Pass Yards,255,211,225,272,78,305,218,186,236,284,165,146,125,363,269,116,256,337
oti,Opp_Penalties-Yards,5-49,10-99,5-45,3-20,5-23,4-45,12-81,3-39,5-55,7-61,9-67,7-63,5-30,7-70,5-54,2-15,8-68,4-37
oti,Opp_Rush-Yds-TDs,21-95-1,25-99-1,35-195-1,42-173-2,31-100-0,34-168-2,26-66-0,21-71-1,36-180-2,21-65-0,24-89-1,25-198-2,29-136-0,22-51-0,26-97-1,39-116-0,16-69-1,27-101-2
oti,Opp_Sacked-Yards,1-1,2-12,0-0,2-11,1-14,1-1,2-17,3-32,4-28,3-15,8-31,2-4,8-53,3-18,1-6,3-18,4-8,0-0
oti,Opp_Third Down Conv.,7-14,6-13,4-14,6-12,5-15,6-13,3-13,3-11,7-15,4-12,6-14,5-11,3-14,7-14,3-12,3-16,4-11,11-17
oti,Opp_Time of Possession,28:21,29:14,32:41,39:41,29:45,35:53,32:42,27:38,40:09,31:40,31:22,26:11,33:49,32:35,29:56,33:27,27:32,32:56
oti,Opp_Total Yards,350,310,420,445,178,473,284,257,416,349,254,344,261,414,366,232,325,438
oti,Opp_Turnovers,0,3,0,1,2,1,3,1,2,0,1,1,0,0,1,1,0,0
oti,Penalties-Yards,5-49,7-70,11-98,6-88,11-77,5-51,5-35,6-39,12-84,9-65,2-15,11-85,6-48,3-22,5-44,6-41,8-50,10-62
oti,Rush-Yds-TDs,29-109-0,36-179-3,22-69-0,19-86-2,20-69-0,19-85-0,32-80-0,22-73-0,14-53-1,21-52-1,28-92-1,22-53-0,22-65-1,28-90-0,26-116-0,24-83-0,31-202-1,16-65-0
oti,Sacked-Yards,2-12,1-4,1-9,2-8,6-22,1-0,2-14,2-9,1-10,5-42,0-0,4-34,3-20,1-3,1-15,2-12,2-10,8-52
oti,Third Down Conv.,5-12,6-13,4-14,2-8,2-13,2-9,5-17,6-16,1-10,5-13,3-8,8-16,4-12,6-12,6-14,6-16,8-13,5-15
oti,Time of Possession,31:39,30:46,27:19,20:19,30:15,24:07,35:23,32:22,19:51,28:20,28:38,33:49,26:11,27:25,30:04,26:33,32:28,27:04
oti,Total Yards,359,390,433,195,188,297,269,341,308,316,276,384,204,328,402,229,397,267
oti,Turnovers,0,1,0,5,2,1,1,2,2,4,2,1,2,1,1,4,2,0
oti,oti Score,26,37,27,14,10,22,12,20,20,17,20,13,7,23,27,10,22,14
