,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
oti,Cmp-Att-Yd-TD-INT,20-38-220-0-3,22-32-310-2-1,13-21-108-0-0,33-50-348-2-0,14-26-129-0-1,25-37-238-1-1,24-32-237-1-1,21-29-240-2-0,23-43-267-0-0,21-29-203-1-2,22-23-303-2-0,17-30-128-0-1,25-43-240-1-0,13-21-94-0-0,13-23-153-1-2,24-35-285-3-1
oti,First Downs,19,21,15,25,15,23,23,24,16,16,14,15,17,22,17,24
oti,Fourth Down Conv.,0-2,0-0,0-0,0-0,0-0,1-1,1-1,0-0,2-3,0-0,0-1,0-0,2-5,1-1,0-0,1-1
oti,Fumbles-Lost,0-0,2-0,0-0,3-1,3-2,0-0,0-0,2-2,0-0,1-0,2-1,0-0,1-1,0-0,0-0,1-1
oti,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
oti,Net Pass Yards,220,289,83,315,121,238,226,215,244,176,260,124,195,86,131,278
oti,Opp Score,27,20,6,26,13,0,20,14,34,38,34,26,30,0,25,17
oti,Opp_Cmp-Att-Yd-TD-INT,20-28-230-2-2,15-22-191-2-0,21-34-155-0-0,30-43-344-2-1,10-20-82-0-1,10-15-117-0-0,19-26-306-2-0,21-32-243-2-1,17-25-249-2-0,24-32-295-3-0,19-24-210-2-0,20-35-282-2-1,18-24-162-0-1,21-44-229-0-1,17-25-211-1-0,18-29-165-1-2
oti,Opp_First Downs,18,15,12,22,18,7,14,18,23,26,19,22,21,15,20,11
oti,Opp_Fourth Down Conv.,0-1,2-2,0-1,3-3,2-3,0-0,0-0,0-1,0-0,0-0,1-1,0-0,0-1,2-3,0-0,0-1
oti,Opp_Fumbles-Lost,0-0,1-0,2-1,1-0,0-0,1-0,0-0,1-1,3-0,2-0,1-0,2-0,1-0,1-1,0-0,1-1
oti,Opp_Net Pass Yards,222,183,145,327,79,51,297,225,235,295,181,273,162,213,192,165
oti,Opp_Penalties-Yards,7-51,8-70,8-75,4-30,4-30,4-35,4-31,6-52,4-35,7-60,3-53,8-75,3-30,10-58,2-10,9-75
oti,Opp_Rush-Yds-TDs,29-120-0,34-100-0,19-87-0,22-70-1,43-144-1,14-55-0,16-47-0,19-72-0,36-150-2,28-102-2,34-281-2,22-130-1,32-264-4,16-47-0,27-99-1,16-93-0
oti,Opp_Sacked-Yards,1-8,1-8,3-10,3-17,1-3,11-66,2-9,5-18,2-14,0-0,4-29,3-9,1-0,3-16,3-19,0-0
oti,Opp_Third Down Conv.,2-10,5-15,5-14,5-16,4-13,1-10,4-9,5-11,5-12,5-10,4-11,1-11,7-11,3-16,5-11,1-9
oti,Opp_Time of Possession,30:25,30:22,27:13,35:30,33:49,22:26,24:37,25:34,32:57,31:16,29:58,26:38,29:20,24:39,26:57,19:47
oti,Opp_Total Yards,342,283,232,397,223,106,344,297,385,397,462,403,426,260,291,258
oti,Opp_Turnovers,2,0,1,1,1,0,0,2,0,0,0,1,1,2,0,3
oti,Penalties-Yards,5-48,11-88,4-30,8-77,5-40,10-70,4-32,3-20,4-31,8-112,7-50,11-96,7-67,4-35,8-49,12-96
oti,Rush-Yds-TDs,29-116-1,26-148-0,35-150-0,22-117-0,25-100-0,35-123-2,33-164-1,36-125-2,19-40-1,27-91-0,23-105-0,33-156-0,20-60-0,45-215-2,34-161-0,36-158-1
oti,Sacked-Yards,0-0,4-21,3-25,4-33,2-8,0-0,2-11,4-25,3-23,5-27,6-43,2-4,4-45,1-8,2-22,1-7
oti,Third Down Conv.,6-14,5-11,5-15,5-15,6-12,12-17,9-15,11-14,3-15,6-14,4-12,3-14,2-12,5-14,8-14,5-13
oti,Time of Possession,29:35,29:38,32:47,34:25,26:11,37:34,35:23,34:26,27:03,28:44,30:02,33:22,30:40,35:21,33:03,40:13
oti,Total Yards,336,437,233,432,221,361,390,340,284,267,365,280,255,301,292,436
oti,Turnovers,3,1,0,1,3,1,1,2,0,2,1,1,1,0,2,2
oti,oti Score,20,17,9,23,12,21,19,28,10,10,17,22,9,17,16,33
