,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
oti,Cmp-Att-Yd-TD-INT,14-24-248-3-0,17-28-146-3-1,23-40-304-0-0,18-27-227-3-0,23-32-219-2-1,20-34-207-0-3,24-38-329-2-0,21-43-301-2-2,27-39-331-1-2,36-51-446-3-0,32-48-272-0-0,17-22-182-2-0,21-27-391-3-1,19-27-243-2-2,28-40-299-3-0,14-21-222-2-0,9-16-76-1-1,8-15-91-3-0,22-32-237-2-0
oti,First Downs,21,21,21,22,18,12,24,23,24,28,23,15,26,23,23,25,19,15,20
oti,Fourth Down Conv.,0-0,1-1,0-1,0-1,1-2,0-2,0-1,1-2,1-1,1-2,1-2,1-1,0-0,0-0,0-1,0-0,0-0,0-0,2-3
oti,Fumbles-Lost,0-0,1-1,3-1,3-0,0-0,1-0,2-1,3-2,1-1,2-1,1-1,2-2,0-0,1-0,1-0,0-0,2-0,0-0,0-0
oti,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
oti,Net Pass Yards,216,121,249,227,204,165,326,283,310,433,252,138,391,234,275,222,71,83,210
oti,Opp Score,13,17,20,10,7,16,23,27,30,35,42,17,21,21,28,14,13,12,35
oti,Opp_Cmp-Att-Yd-TD-INT,25-38-285-1-3,19-28-154-1-0,20-30-204-2-0,35-53-397-0-0,13-22-183-0-0,18-28-177-0-1,24-30-323-2-1,21-33-193-3-0,17-32-232-2-1,13-19-181-2-0,14-18-259-2-0,25-40-319-1-2,25-34-262-2-0,22-37-279-2-1,17-27-272-3-0,21-36-225-0-1,20-37-209-0-1,31-59-365-1-2,23-35-294-3-0
oti,Opp_First Downs,19,18,12,24,14,11,22,16,22,19,21,22,22,24,17,20,18,29,27
oti,Opp_Fourth Down Conv.,0-2,0-1,0-1,1-4,0-0,0-0,1-2,0-1,2-2,0-1,0-0,0-0,0-1,1-2,0-1,2-4,0-1,0-4,1-1
oti,Opp_Fumbles-Lost,0-0,2-0,0-0,1-1,1-0,2-0,2-0,2-1,0-0,1-1,2-2,1-1,1-1,0-0,1-1,0-0,2-1,1-1,1-0
oti,Opp_Net Pass Yards,244,119,204,364,150,167,306,174,214,146,252,309,258,269,248,192,209,345,292
oti,Opp_Penalties-Yards,18-182,5-75,4-30,7-50,8-60,8-51,7-54,6-77,6-77,8-64,6-54,6-40,3-20,4-30,6-56,5-35,3-28,7-56,9-61
oti,Opp_Rush-Yds-TDs,20-102-1,24-124-1,20-88-0,17-58-1,27-102-1,30-103-1,29-97-1,21-72-0,33-156-2,26-225-2,33-219-4,24-82-1,24-97-1,28-163-1,26-149-1,25-109-2,22-98-1,29-185-0,27-112-2
oti,Opp_Sacked-Yards,5-41,4-35,0-0,5-33,5-33,1-10,2-17,3-19,3-18,4-35,1-7,3-10,2-4,2-10,5-24,4-33,0-0,4-20,2-2
oti,Opp_Third Down Conv.,1-10,1-10,2-11,5-14,4-14,2-14,6-11,5-13,5-14,2-8,4-8,5-12,4-10,4-10,5-13,3-12,5-13,11-18,6-10
oti,Opp_Time of Possession,30:42,28:06,24:44,30:41,28:48,29:46,32:15,28:26,33:17,22:08,23:04,32:31,30:48,28:40,28:56,31:39,28:51,32:06,29:50
oti,Opp_Total Yards,346,243,292,422,252,270,403,246,370,371,471,391,355,432,397,301,307,530,404
oti,Opp_Turnovers,3,0,0,1,0,1,1,1,1,1,2,3,1,1,1,1,2,3,0
oti,Penalties-Yards,6-54,8-65,9-101,5-77,11-78,6-40,4-29,9-87,11-99,9-80,11-104,3-33,4-21,5-27,11-70,5-37,5-25,5-20,8-85
oti,Rush-Yds-TDs,28-123-1,34-167-0,26-91-1,34-138-0,27-109-0,21-39-0,21-39-0,30-106-0,21-121-2,25-97-0,27-117-2,30-154-1,32-161-2,35-140-1,23-102-2,39-245-3,40-201-1,37-217-1,23-85-1
oti,Sacked-Yards,4-32,3-25,9-55,0-0,4-15,7-42,1-3,3-18,4-21,2-13,3-20,6-44,0-0,1-9,3-24,0-0,1-5,1-8,3-27
oti,Third Down Conv.,2-10,7-14,8-17,6-13,4-13,2-14,6-11,7-15,3-10,7-14,7-18,5-13,8-11,5-10,4-12,5-10,6-12,7-13,3-10
oti,Time of Possession,29:18,31:54,35:16,29:19,31:12,30:14,27:45,31:34,26:43,37:52,36:56,27:29,29:12,31:20,31:04,28:21,31:09,27:54,30:10
oti,Total Yards,339,288,340,365,313,204,365,389,431,530,369,292,552,374,377,467,272,300,295
oti,Turnovers,0,2,1,0,1,3,1,4,3,1,1,2,1,2,0,0,1,0,0
oti,oti Score,43,19,7,24,14,0,20,23,20,32,20,31,42,24,38,35,20,28,24
