,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
oti,Cmp-Att-Yd-TD-INT,29-43-249-2-0,30-45-339-3-2,23-37-321-0-1,29-46-285-2-2,28-38-335-4-0,32-49-268-2-3,18-30-233-2-1,36-52-335-2-0,29-39-308-1-0,23-32-266-2-1,13-22-221-1-0,26-34-340-4-0,19-24-212-2-0,27-38-307-1-1,11-26-121-1-2,18-27-216-1-0,17-24-179-0-1
oti,First Downs,26,30,23,23,25,23,27,22,26,26,28,26,25,27,15,28,22
oti,Fourth Down Conv.,1-1,1-1,1-1,0-0,3-3,0-0,1-1,3-4,3-5,1-1,1-1,0-1,1-2,0-1,0-1,0-1,0-0
oti,Fumbles-Lost,0-0,2-0,2-0,2-1,0-0,2-0,0-0,3-2,0-0,3-0,0-0,1-1,1-1,3-2,1-0,2-1,0-0
oti,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
oti,Net Pass Yards,247,315,310,275,320,268,223,319,297,250,220,340,205,307,104,204,165
oti,Opp Score,14,33,30,42,42,24,31,24,17,24,26,35,10,46,40,38,13
oti,Opp_Cmp-Att-Yd-TD-INT,22-33-216-1-0,18-24-239-4-0,16-27-251-3-2,21-28-195-3-0,30-41-366-4-1,18-31-220-2-0,26-37-249-2-0,10-21-158-2-0,15-27-147-1-0,17-29-186-1-1,24-44-295-2-1,29-45-389-3-1,31-54-263-1-1,21-27-273-3-0,21-25-231-4-1,29-40-385-3-1,18-26-165-1-1
oti,Opp_First Downs,19,23,22,25,31,15,27,11,25,21,27,25,20,28,27,26,12
oti,Opp_Fourth Down Conv.,0-1,0-0,0-1,1-1,0-0,0-1,1-1,0-0,0-1,0-0,1-2,3-4,1-3,0-0,1-2,1-1,1-1
oti,Opp_Fumbles-Lost,4-1,0-0,2-1,0-0,1-1,1-0,1-0,0-0,0-0,0-0,0-0,4-2,0-0,0-0,1-0,0-0,0-0
oti,Opp_Net Pass Yards,216,231,238,195,344,210,249,136,137,177,280,369,263,268,214,361,158
oti,Opp_Penalties-Yards,5-56,4-30,3-20,6-46,7-73,7-73,7-45,6-57,3-30,6-81,6-50,5-52,10-80,3-22,0-0,6-44,2-10
oti,Opp_Rush-Yds-TDs,26-107-1,34-123-0,33-226-1,34-139-3,27-263-2,23-82-1,32-118-2,31-92-0,32-157-1,33-129-1,21-56-2,18-62-1,15-91-0,38-195-3,37-234-2,17-96-1,22-51-0
oti,Opp_Sacked-Yards,0-0,1-8,2-13,0-0,2-22,2-10,0-0,3-22,1-10,1-9,2-15,3-20,0-0,1-5,1-17,4-24,1-7
oti,Opp_Third Down Conv.,3-9,7-11,4-10,6-10,6-10,5-13,10-15,6-15,3-10,9-15,5-13,2-10,5-14,9-11,4-8,5-12,4-12
oti,Opp_Time of Possession,27:20,26:38,28:28,27:36,31:50,23:23,35:57,26:06,28:42,31:06,24:27,23:14,28:17,28:22,36:37,28:56,26:22
oti,Opp_Total Yards,323,354,464,334,607,292,367,228,294,306,336,431,354,463,448,457,209
oti,Opp_Turnovers,1,0,3,0,2,0,0,0,0,1,1,3,1,0,1,1,1
oti,Penalties-Yards,5-37,8-60,4-45,10-56,4-46,8-69,7-68,5-35,9-73,4-44,9-63,13-92,7-78,3-33,3-15,6-50,5-60
oti,Rush-Yds-TDs,34-130-0,27-165-1,34-134-2,22-95-0,27-92-1,25-94-1,29-218-1,20-56-0,29-133-2,34-173-1,45-229-4,36-118-1,40-249-2,27-123-2,27-156-1,41-288-4,35-236-2
oti,Sacked-Yards,1-2,2-24,2-11,1-10,2-15,0-0,1-10,3-16,1-11,2-16,1-1,0-0,1-7,0-0,2-17,2-12,5-14
oti,Third Down Conv.,7-16,10-14,3-13,13-17,7-14,13-18,5-9,2-15,4-12,5-12,5-12,10-16,3-9,7-12,5-11,7-10,7-13
oti,Time of Possession,32:40,33:22,31:32,32:24,31:40,36:37,24:03,33:54,31:18,33:33,35:33,36:46,31:43,31:38,23:23,31:04,33:38
oti,Total Yards,377,480,444,370,412,362,441,375,430,423,449,458,454,430,260,492,401
oti,Turnovers,0,2,1,3,0,3,1,2,0,1,0,1,1,3,2,1,1
oti,oti Score,16,30,31,16,36,27,20,17,34,30,45,41,31,25,14,41,20
