,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
min,Cmp-Att-Yd-TD-INT,15-33-261-1-3,35-48-425-4-1,15-22-196-1-0,36-50-422-3-0,30-37-301-1-0,21-31-240-0-1,25-40-241-2-0,19-24-164-1-1,25-36-199-0-0,30-46-262-2-2,17-28-198-1-0,32-44-201-1-2,20-33-208-1-0,11-24-108-0-0,21-28-253-3-0,18-26-163-0-0
min,First Downs,20,24,16,25,19,16,15,17,18,19,14,16,16,12,16,17
min,Fourth Down Conv.,0-0,0-0,1-1,2-2,0-0,0-2,1-1,0-0,3-3,1-1,0-1,1-2,0-2,0-2,0-1,0-1
min,Fumbles-Lost,3-1,0-0,3-0,1-1,2-1,1-1,1-0,0-0,1-1,1-1,1-1,0-0,1-1,1-0,0-0,2-0
min,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
min,Net Pass Yards,237,412,164,392,298,208,228,164,143,246,172,183,199,37,240,163
min,Opp Score,24,29,6,38,21,27,17,20,24,25,24,24,21,41,9,10
min,Opp_Cmp-Att-Yd-TD-INT,20-36-244-2-0,30-42-281-1-0,40-55-296-1-1,26-34-465-5-0,24-35-311-2-0,24-34-233-1-1,17-42-206-1-3,31-41-359-2-1,18-22-164-1-1,20-31-165-1-2,29-38-342-3-0,24-32-311-1-1,10-20-72-0-1,14-21-215-2-1,23-43-161-0-0,20-33-132-1-0
min,Opp_First Downs,19,24,21,25,21,20,16,27,17,24,22,27,19,22,17,12
min,Opp_Fourth Down Conv.,0-1,0-0,0-1,0-1,1-1,0-1,1-2,2-3,1-1,0-0,0-1,1-1,1-1,0-0,1-3,1-4
min,Opp_Fumbles-Lost,1-1,2-0,4-2,1-0,2-2,1-1,5-1,2-1,1-1,1-1,0-0,0-0,0-0,0-0,1-0,0-0
min,Opp_Net Pass Yards,227,253,278,456,283,216,192,338,155,160,325,311,60,198,137,101
min,Opp_Penalties-Yards,7-52,7-54,6-59,2-15,8-52,9-52,8-71,6-54,3-15,5-46,6-55,7-60,4-45,6-45,7-55,3-30
min,Opp_Rush-Yds-TDs,32-116-0,24-98-0,6-14-0,20-100-0,17-81-0,32-195-2,24-71-1,22-85-1,23-128-1,39-148-0,29-91-0,39-160-2,42-214-1,40-220-3,23-86-0,15-63-0
min,Opp_Sacked-Yards,3-17,4-28,4-18,1-9,3-28,4-17,3-14,4-21,1-9,1-5,2-17,0-0,2-12,2-17,3-24,4-31
min,Opp_Third Down Conv.,7-17,4-13,5-14,1-6,2-9,5-14,2-13,5-10,3-8,6-12,7-14,7-14,3-11,5-13,4-16,1-11
min,Opp_Time of Possession,31:09,38:08,24:15,27:46,27:13,34:22,27:49,31:23,23:15,34:29,34:37,33:21,31:49,33:16,31:28,22:52
min,Opp_Total Yards,343,351,292,556,364,411,263,423,283,308,416,471,274,418,223,164
min,Opp_Turnovers,1,0,3,0,2,2,4,2,2,3,0,1,1,1,0,0
min,Penalties-Yards,3-21,8-70,12-84,4-35,4-23,5-30,6-55,7-64,8-66,4-50,4-20,5-55,4-51,8-49,11-78,11-102
min,Rush-Yds-TDs,25-90-0,18-68-0,38-128-2,17-54-0,23-77-0,20-60-1,24-88-2,29-106-1,24-66-0,14-22-0,19-82-1,13-95-0,21-77-0,20-156-1,28-100-0,37-169-3
min,Sacked-Yards,3-24,2-13,3-32,4-30,1-3,4-32,1-13,0-0,10-56,2-16,4-26,2-18,2-9,9-71,2-13,0-0
min,Third Down Conv.,5-13,7-14,4-13,8-16,4-11,0-10,2-15,4-9,4-15,5-12,2-10,3-12,2-10,2-12,4-13,8-14
min,Time of Possession,28:51,31:52,35:45,32:14,32:47,25:38,32:11,28:37,36:45,25:31,25:23,26:39,28:11,26:44,28:32,37:08
min,Total Yards,327,480,292,446,375,268,316,270,209,268,254,278,276,193,340,332
min,Turnovers,4,1,0,1,1,2,0,1,1,3,1,2,1,0,0,0
min,min Score,16,29,27,31,23,17,37,30,9,20,17,10,7,17,27,24
