,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
min,Cmp-Att-Yd-TD-INT,33-46-304-2-2,14-32-230-1-2,27-34-242-2-1,27-36-233-0-0,22-27-306-2-0,26-41-306-2-2,24-34-338-4-0,15-21-163-0-1,19-38-220-3-0,23-32-220-2-0,18-40-278-1-1,22-38-276-2-1,24-40-205-1-2,19-25-207-1-1,26-40-216-0-1,26-37-207-0-0,19-31-242-1-0,21-29-172-1-1
min,First Downs,27,15,17,15,22,19,32,14,17,27,20,17,18,18,22,24,22,7
min,Fourth Down Conv.,2-2,0-0,2-3,1-2,1-1,1-3,0-0,0-0,1-1,1-1,4-4,0-1,1-1,0-0,0-0,1-2,0-0,0-2
min,Fumbles-Lost,1-1,5-2,1-0,3-2,3-1,1-1,2-0,2-1,1-0,0-0,0-0,3-2,0-0,2-0,4-2,2-1,1-1,4-1
min,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
min,Net Pass Yards,272,223,214,182,279,292,338,131,212,211,270,276,161,207,199,179,226,126
min,Opp Score,28,21,34,16,10,38,30,19,26,24,27,37,20,10,10,19,20,27
min,Opp_Cmp-Att-Yd-TD-INT,8-10-98-1-0,22-34-209-2-0,15-21-174-1-0,24-33-204-1-0,21-38-182-1-1,22-29-333-4-1,30-45-364-4-1,23-26-285-0-0,25-35-275-1-0,28-47-397-3-1,29-35-319-3-0,21-31-240-2-1,24-30-242-1-0,28-39-307-1-3,16-32-122-1-1,12-21-126-0-2,27-34-258-1-1,11-19-131-1-1
min,Opp_First Downs,18,20,23,17,18,26,26,22,17,24,19,24,22,17,7,14,19,21
min,Opp_Fourth Down Conv.,0-0,0-1,0-0,2-3,0-3,1-1,0-1,1-3,1-1,0-2,2-2,1-1,0-1,1-2,0-2,0-0,0-0,0-1
min,Opp_Fumbles-Lost,2-0,2-2,1-0,0-0,0-0,1-1,0-0,1-1,3-1,0-0,4-2,1-1,0-0,5-4,0-0,1-1,1-1,1-1
min,Opp_Net Pass Yards,97,191,174,197,147,325,352,273,230,393,284,226,234,283,82,126,227,122
min,Opp_Penalties-Yards,11-100,6-35,6-59,7-50,5-45,4-30,8-67,7-74,4-25,5-39,5-49,1-30,8-55,5-48,3-30,3-40,6-52,5-38
min,Opp_Rush-Yds-TDs,38-172-3,33-144-1,38-211-3,33-72-0,20-64-0,35-122-1,20-81-0,38-161-1,18-147-1,22-50-0,18-37-1,43-218-2,39-120-1,19-62-0,16-57-0,26-174-1,17-97-1,47-186-2
min,Opp_Sacked-Yards,1-1,2-18,0-0,1-7,4-35,1-8,2-12,3-12,5-45,1-4,5-35,2-14,1-8,3-24,5-40,0-0,3-31,2-9
min,Opp_Third Down Conv.,5-10,5-15,5-9,5-16,8-16,2-10,6-11,8-15,4-13,9-15,5-12,7-15,5-14,6-11,4-15,4-9,4-11,5-12
min,Opp_Time of Possession,29:47,34:06,31:32,35:27,27:20,32:04,27:50,36:36,31:48,26:33,23:17,39:45,33:43,27:39,22:28,22:20,27:24,38:27
min,Opp_Total Yards,269,335,385,269,211,447,433,434,377,443,321,444,354,345,139,300,324,308
min,Opp_Turnovers,0,2,0,0,1,2,1,1,1,1,2,2,0,7,1,3,2,2
min,Penalties-Yards,9-78,8-100,7-84,7-55,12-112,7-49,6-60,4-46,3-25,5-35,6-35,3-30,4-28,5-41,2-20,3-34,4-26,1-15
min,Rush-Yds-TDs,17-73-0,27-198-1,20-88-0,16-40-1,34-211-0,22-108-0,37-166-2,16-85-0,27-96-0,36-153-1,33-124-1,14-78-1,22-70-0,37-137-2,32-184-2,34-158-1,40-136-2,10-21-0
min,Sacked-Yards,4-32,1-7,4-28,6-51,3-27,2-14,0-0,4-32,1-8,1-9,2-8,0-0,5-44,0-0,3-17,4-28,3-16,6-46
min,Third Down Conv.,2-8,4-13,3-11,5-13,5-11,4-12,6-10,2-7,5-15,8-14,5-18,5-10,7-16,7-14,5-14,7-16,10-18,2-12
min,Time of Possession,30:13,25:54,28:28,24:33,32:40,27:56,32:10,23:24,28:12,33:27,36:43,20:15,26:17,32:21,37:32,37:40,36:56,21:33
min,Total Yards,345,421,302,222,490,400,504,216,308,364,394,354,231,344,383,337,362,147
min,Turnovers,3,4,1,2,1,3,0,2,0,0,1,3,2,1,3,1,1,2
min,min Score,12,16,14,6,28,20,42,9,23,28,23,30,7,39,23,21,26,10
