,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
min,Cmp-Att-Yd-TD-INT,21-34-173-2-0,31-44-364-4-0,41-48-454-4-0,12-19-139-2-2,31-41-281-2-0,21-31-181-1-0,21-30-272-1-2,26-35-297-2-0,25-36-236-2-0,26-43-232-2-2,20-32-221-1-1,27-37-217-0-0,19-36-146-0-0,26-34-303-2-2,30-40-257-1-0,25-34-293-3-0,30-44-396-2-2
min,First Downs,16,19,24,14,21,12,19,24,23,16,19,18,16,24,28,28,24
min,Fourth Down Conv.,1-1,1-1,1-2,1-2,0-0,1-2,1-1,1-1,1-1,2-2,3-4,1-1,1-1,0-1,2-2,0-1,2-3
min,Fumbles-Lost,0-0,4-4,4-1,1-0,0-0,3-1,1-1,1-1,3-2,1-0,4-2,3-2,0-0,0-0,2-1,1-1,0-0
min,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
min,Net Pass Yards,169,346,445,130,266,174,260,284,217,215,210,199,99,281,246,293,359
min,Opp Score,17,34,24,13,20,13,22,10,28,27,21,10,0,27,24,10,30
min,Opp_Cmp-Att-Yd-TD-INT,33-44-344-2-1,18-23-193-1-1,32-50-367-3-1,25-32-204-0-0,29-47-284-2-0,16-24-141-0-2,35-45-378-2-1,24-41-229-1-1,21-38-268-1-1,23-34-268-1-0,27-35-259-1-0,22-32-185-1-4,21-32-171-0-1,29-42-324-2-1,22-36-411-2-4,18-32-180-1-1,23-32-320-2-0
min,Opp_First Downs,18,24,29,20,24,18,24,16,18,23,13,15,8,22,19,13,19
min,Opp_Fourth Down Conv.,0-0,1-1,2-3,2-3,4-5,0-1,0-0,1-4,0-0,0-0,1-1,0-2,2-2,1-1,0-1,0-2,2-2
min,Opp_Fumbles-Lost,2-2,1-0,1-1,2-1,2-1,2-1,0-0,2-0,1-1,0-0,1-0,2-0,3-2,1-0,2-0,1-1,0-0
min,Opp_Net Pass Yards,328,171,345,149,259,113,378,196,260,263,249,169,146,298,373,144,311
min,Opp_Penalties-Yards,6-45,7-45,6-45,6-80,4-51,5-29,5-35,11-99,8-62,5-35,4-48,4-24,4-37,3-26,8-64,6-27,4-20
min,Opp_Rush-Yds-TDs,17-41-0,48-259-3,24-130-0,31-83-0,18-70-0,36-162-1,21-74-0,17-74-0,28-110-1,33-125-2,15-46-0,17-73-0,17-56-0,22-80-1,11-17-1,16-67-0,23-70-2
min,Opp_Sacked-Yards,2-16,4-22,4-22,5-55,3-25,5-28,0-0,4-33,1-8,1-5,2-10,2-16,4-25,5-26,4-38,4-36,1-9
min,Opp_Third Down Conv.,6-14,6-14,4-14,5-14,6-14,6-14,8-13,5-14,10-18,6-15,2-12,2-9,3-14,6-13,3-9,3-10,1-9
min,Opp_Time of Possession,29:21,39:28,33:13,38:29,28:01,35:11,34:56,23:38,28:28,33:06,25:02,24:10,27:49,33:08,21:38,22:28,25:01
min,Opp_Total Yards,369,430,475,232,329,275,452,270,370,388,295,242,202,378,390,211,381
min,Opp_Turnovers,3,1,2,1,1,3,1,1,2,0,0,4,3,1,4,2,0
min,Penalties-Yards,3-19,2-15,12-94,7-37,10-86,5-63,5-37,7-35,1-4,9-74,6-55,7-76,5-36,4-22,9-52,4-32,8-77
min,Rush-Yds-TDs,33-73-0,9-28-0,15-30-0,23-135-0,21-67-1,22-46-0,22-65-1,31-62-1,33-146-1,15-65-0,36-175-1,28-118-0,30-132-0,30-143-1,36-143-3,39-177-1,22-89-0
min,Sacked-Yards,1-4,2-18,1-9,2-9,2-15,2-7,1-12,3-13,4-19,3-17,2-11,3-18,5-47,3-22,1-11,0-0,4-37
min,Third Down Conv.,6-17,6-10,5-11,1-8,9-15,2-13,5-9,10-18,7-16,4-14,6-15,8-18,8-20,5-12,6-12,9-14,2-13
min,Time of Possession,30:39,20:32,26:47,21:31,31:59,24:49,25:04,36:22,31:32,26:54,34:58,35:50,32:11,33:41,38:22,37:32,34:59
min,Total Yards,242,374,475,265,333,220,325,346,363,280,385,317,231,424,389,470,448
min,Turnovers,0,4,1,2,0,1,3,1,2,2,3,2,0,2,1,1,2
min,min Score,20,28,28,21,27,19,17,24,31,19,20,12,3,24,30,33,20
